Hout                          Neutral zone             0.84835.3038.0000006.000.96853.910.407
Hout                          Divided zone             0.86132.8027.0000009.900.90265.670.317
Hunt                          Libya                    0.83737.6038.0000009.000.88262.350.405
Hutton                        U.K.                     0.87330.5038.0000010.900.91961.540.343
Illinois (Louden)             USA                      0.84037.0038.0000005.500.89455.030.620
Interprovincial               Canada                   0.84336.4038.0000004.800.89853.970.394
Iranian heavy                 Iran                     0.87131.0038.0000009.400.94659.160.455
Iranian light                 Iran                     0.85633.8020.0000010.600.93057.030.448
Isthmus                       Mexico                   1.07600.0020.009999    1.06168.650.386
Jatibarang                    Indonesia                0.88228.9050.0000128.001.00264.840.329
Katina                        Greece                   0.99510.7038.0000500.001.00790.000.171
Kerindangan                   Indonesia                0.92421.6038.0000021.901.04477.310.079
Khafji                        Divided zone             0.88428.5027.0000021.300.95865.280.523
Khafji                        Neutral zone             0.89626.4038.0000018.000.50868.540.307
Khursaniyah                   Saudi Arabia             0.87031.0038.0000009.200.91463.350.347
Kingfish                      Australia                0.79746.0038.0000001.500.86840.460.478
Kirkuk                        Iraq                     0.84535.9038.0000004.600.89757.030.390
Kirkuk blend                  Iraq                     0.84935.1010.0000012.800.89760.270.383
Klamono                       Indonesia                0.94218.7050.0000034.701.06282.260.240
Kole                          Cameroon                 0.86931.4038.0000007.500.91362.960.351
Kole marine blend             Cameroon                 0.85034.9010.0000011.000.93547.220.431
Kuparuk                       Alaska                   0.91623.0015.0000080.000.94873.060.177
Kuwait                        Kuwait                   0.87031.2038.0000010.000.94561.350.372
Kuwait Export                 Kuwait                   0.86931.4038.0000009.800.91363.280.461
La Rosa medium                Venezuela                0.90225.3050.0000024.000.93274.630.272
Labuan light                  Malaysia                 0.84536.0038.0000022.000.96552.710.391
Lagomedio                     Venezuela                0.86831.5038.0000009.200.92155.620.361
Lagunillas heavy              South America            0.94817.8038.0000222.000.96883.240.233
Leduc Woodbend                Canada                   0.82739.7038.0000004.000.89344.650.423
Leona                         Venezuela                0.90924.1050.0000066.000.94768.430.374
Lirik                         Indonesia                0.84735.6050.0000012.000.87179.790.387
Lloyd minister                Alberta Canada           0.93020.7038.0000101.000.96669.780.303
Loreto                        Peru                     0.85534.0027.0000008.400.90459.040.374
Los Angeles Basin             USA                      0.92421.7038.0000037.000.95772.670.266
LOT 17                        South America            0.77554.0038.0000005.100.82954.970.548
Louisiana Delta               USA                      0.87330.6038.0000008.200.91466.220.344
Lucina Marine                 Gabon                    0.82739.5020.0000016.000.88155.400.436
Magnus                        UK (North Sea)           1.07600.0000.0007486.001.06149.570.078
Mandji                        Gabon                    0.87330.5010.0000044.000.91862.220.261
Manifa (offshore)             Saudi Arabia             0.88029.0038.0000013.000.92265.290.330
Marine Belayim                Egypt                    0.87330.6038.0000014.000.90771.600.344
Maureen                       UK (North Sea)           1.07600.0000.0007486.001.06159.640.078
Maya                          Mexico                   0.92222.0020.0000222.000.95671.910.320
Melahin                       Indonesia                0.90624.7038.0000005.701.02672.010.055
Merey                         Venezuela                0.95017.4038.0000261.000.96686.280.229
Mesa                          South America            0.87630.0038.0000008.800.92658.100.339
Minas (Sumatra light)         Indonesia                0.84935.2050.0000011.400.88669.480.384
Mixed spray berry             USA                      0.83338.3020.0000008.200.89647.780.455
Monegas-Morichal              South America            0.98512.2050.0000651.730.99591.520.184
Montrose                      UK (North Sea)           0.82240.7040.0000003.170.88647.050.432
Moonie                        Australia                0.80444.5038.0000002.500.87541.020.465
Mubarek                       Sharjah UAE              0.83437.0038.0000003.200.88458.180.331
Mubarras                      Abu Dhabi                0.82338.1050.0000004.700.94349.130.409
Murban                        Abu Dhabi                0.83540.5040.0000002.700.89549.720.238
Murchison                     UK & Norway (North Sea)  0.85138.0038.0000003.600.90852.250.612
Nigerian (Gulf)               Nigeria                  0.84934.7038.0000003.800.90850.650.380
Ninian                        UK (North Sea)           0.84035.1038.0000006.900.90358.100.372
